variable,group,Total,SIDD,SIRD,MOD,MARD
dmagediag,NA,63.4 (12.4),61.1 (13.7),65.7 (9.4),52 (7.9),72.5 (7.6)
bmi,NA,33.2 (7),33.7 (7.3),32.4 (6),37.9 (7),29.4 (4.6)
hba1c,NA,"6.3 (5.8, 6.7)","9.4 (8.7, 10.4)","6.5 (6, 6.7)","6.3 (5.9, 6.7)","6.1 (5.7, 6.5)"
glucosef2,NA,6.9 (1.6),11.7 (3.7),6.5 (1.3),6.8 (1),6.8 (1.2)
insulinf2,NA,192.8 (170.9),169.8 (150.3),584.4 (259.6),206.4 (102),112.3 (67.4)
homa2b,NA,"108 (73.3, 156.4)","41.9 (21.9, 72.8)","300 (249.8, 367.4)","129.4 (99.3, 166.9)","81.8 (59.2, 111.8)"
homa2ir,NA,"2.8 (1.7, 4.7)","2.9 (1.6, 5.6)","9 (7.4, 11.8)","3.7 (2.5, 5.2)","1.9 (1.3, 2.9)"
ldlc,NA,108 (34.5),110.3 (36.6),105.5 (34.4),115.9 (33.6),102.1 (33.8)
hdlc,NA,47.6 (12.8),43.9 (11.4),46.5 (13.1),45.4 (11.2),50 (13.5)
tgl,NA,148.3 (104.3),198.8 (158.7),163 (120),154.2 (120.5),135.1 (72.6)
sbp,NA,125.6 (18.6),126.4 (20.6),126.6 (18.9),122.5 (18.5),127.8 (18.2)
dbp,NA,74.2 (14.6),77.1 (16.1),71.1 (10.9),80.9 (16),69.3 (11.9)
ratio_th,NA,"2.8 (1.8, 4.2)","3.5 (2.4, 5.6)","3 (2, 4.6)","3 (2, 4.6)","2.5 (1.7, 3.7)"
ast,NA,25.4 (14.3),NA (NA),28.3 (15.7),25.5 (16.9),24.9 (6.8)
alt,NA,26.3 (23.3),NA (NA),32.7 (23.7),26.8 (27),24.9 (13.6)
urinealbumin,NA,4.5 (29.2),9.7 (27.9),3.2 (9),2.2 (4.6),5.4 (38.3)
urinecreatinine,NA,137.4 (79),169.6 (104.2),126.9 (68.5),171.8 (81.3),119.1 (82.5)
uacr,NA,"7.3 (4, 16.5)","14.9 (7.1, 32.8)","7.4 (4, 16.1)","6.1 (4, 13)","7.8 (3.8, 26.1)"
egfr,NA,"83.4 (68.9, 101.7)","104.6 (89.4, 123.7)","68.8 (58.1, 81.6)","99.1 (83.4, 113.6)","73.7 (63.7, 85.2)"
female,NA,3377 (59.8%),108 (45.4%),488 (54.9%),1269 (70.6%),1512 (53.2%)
race_rev,AA,1199 (35.5%),66 (61.1%),145 (29.7%),547 (43.1%),441 (29.2%)
race_rev,Other,493 (14.6%),12 (11.1%),184 (37.7%),190 (15%),107 (7.1%)
race_rev,White,1685 (49.9%),30 (27.8%),159 (32.6%),532 (41.9%),964 (63.8%)
study,aric,1062 (31.4%),44 (40.7%),10 (2%),38 (3%),970 (64.2%)
study,cardia,228 (6.8%),16 (14.8%),1 (0.2%),191 (15.1%),20 (1.3%)
study,dpp,285 (8.4%),5 (4.6%),5 (1%),225 (17.7%),50 (3.3%)
study,dppos,1013 (30%),4 (3.7%),62 (12.7%),629 (49.6%),318 (21%)
study,jhs,245 (7.3%),19 (17.6%),2 (0.4%),156 (12.3%),68 (4.5%)
study,mesa,544 (16.1%),20 (18.5%),408 (83.6%),30 (2.4%),86 (5.7%)
