variable,group,aric,cardia,dpp,dppos,jhs,mesa
dmagediag,NA,75.3 (5.1),48.2 (5.7),51.9 (9),57.7 (9.7),57.3 (10.7),66.4 (9.6)
bmi,NA,30.6 (5.9),35.7 (6.9),36 (7),35.1 (7.2),35.4 (7.1),31 (5.9)
hba1c,NA,"6.1 (5.8, 6.6)","6.8 (6.5, 7.5)","6.4 (6, 6.8)","6.1 (5.7, 6.4)","7 (6.6, 8.1)","6.6 (6.2, 7)"
glucosef2,NA,7.2 (1.7),7.6 (2.7),7.1 (1.4),6.8 (1),7.8 (3),7.1 (2.2)
insulinf2,NA,103.7 (71.6),146.8 (91.7),205.7 (104.4),220.3 (140.7),130.8 (98.5),477.5 (287.6)
homa2b,NA,"71 (52.3, 94.9)","92.3 (60.3, 129.4)","117.7 (91.2, 154.4)","129.9 (99.9, 172.2)","81.2 (48, 121)","266.1 (188.4, 351.8)"
homa2ir,NA,"1.7 (1.1, 2.6)","2.5 (1.7, 3.6)","3.6 (2.5, 5.2)","3.7 (2.4, 5.4)","2.3 (1.4, 3.4)","7.3 (5.1, 10.9)"
ldlc,NA,97.1 (33.2),114.8 (38.1),119.2 (29.1),111.7 (32.4),120.6 (41.8),106.9 (32.2)
hdlc,NA,48.5 (12.7),46.9 (13.9),42 (10.8),46.8 (12.1),49 (13),49.1 (14.2)
tgl,NA,141.2 (76.8),160.3 (136.2),175.1 (97.9),155.5 (98.1),130.8 (153.4),144.3 (97.9)
sbp,NA,129.6 (18),105.4 (25.8),126.3 (14.7),124.1 (14.4),129.5 (19.2),128.1 (20.1)
dbp,NA,66.8 (10.8),99.3 (28.2),79.4 (9.2),75.6 (9.3),76.3 (10.9),70.7 (10.7)
ratio_th,NA,"2.6 (1.8, 4)","2.9 (1.8, 4.4)","3.6 (2.5, 5.8)","3 (2, 4.5)","2.2 (1.5, 3.4)","2.6 (1.6, 4.1)"
ast,NA,NA (NA),NA (NA),NA (NA),25.4 (14.3),NA (NA),NA (NA)
alt,NA,NA (NA),NA (NA),NA (NA),26.3 (23.3),NA (NA),NA (NA)
urinealbumin,NA,5.8 (40.4),3.5 (8.7),NA (NA),NA (NA),12.6 (54.6),4.1 (13.3)
urinecreatinine,NA,NA (NA),NA (NA),141.2 (78.1),NA (NA),150.5 (83.9),125.6 (70)
uacr,NA,"NA (NA, NA)","7.6 (4.5, 17.3)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","8.1 (4.2, 20.2)"
egfr,NA,"NA (NA, NA)","101.4 (87.3, 116.3)","NA (NA, NA)","NA (NA, NA)","99.8 (82.5, 113.3)","70.3 (58.9, 79.6)"
female,NA,1067 (54.6%),341 (57.2%),287 (64.8%),1014 (66.7%),691 (61.2%),748 (50.7%)
race_rev,AA,297 (27.8%),241 (70.7%),70 (24.4%),244 (24.1%),691 (100%),267 (35.7%)
race_rev,White,770 (72.2%),100 (29.3%),152 (53%),558 (55%),NA,191 (25.5%)
race_rev,Other,NA,NA,65 (22.6%),212 (20.9%),NA,290 (38.8%)
cluster,MARD,988 (92.6%),18 (5.3%),49 (17.1%),319 (31.5%),176 (25.5%),121 (16.2%)
cluster,MOD,39 (3.7%),268 (78.6%),228 (79.4%),621 (61.2%),353 (51.1%),45 (6%)
cluster,SIDD,31 (2.9%),52 (15.2%),5 (1.7%),4 (0.4%),150 (21.7%),34 (4.5%)
cluster,SIRD,9 (0.8%),3 (0.9%),5 (1.7%),70 (6.9%),12 (1.7%),548 (73.3%)
