Unnamed: 0,medications,med_dm_use,med_chol_use,med_bp_use,med_dep_use
1,plavix,0,0,0,0
2,naproxen,0,0,0,0
3,beconase aq,0,0,0,0
4,clopidogrel bisulfate,0,0,0,0
5,synthroid,0,0,0,0
6,timolol maleate,0,0,0,0
7,timolol,0,0,0,0
8,zoloft,0,0,0,0
9,zestril,0,0,0,0
10,bellergal-s,0,0,0,0
11,metrogel,0,0,0,0
12,tamoxifen citrate,0,0,0,0
13,lovastatin,0,1,0,0
14,clonidine hcl,0,0,0,0
15,zithromax,0,0,0,0
16,premarin,0,0,0,0
17,celebrex,0,0,0,0
18,coumadin,0,0,0,0
19,claritin-d 24 hour,0,0,0,0
20,lasix,0,0,0,0
21,naproxen sodium,0,0,0,0
22,flexeril,0,0,0,0
23,ampicillin trihydrate,0,0,0,0
24,ciloxan,0,0,0,0
25,prinivil,0,0,0,0
26,zocor,0,1,0,0
27,prempro,0,0,0,0
28,flonase,0,0,0,0
29,lisinopril,0,0,1,0
30,soma,0,0,0,0
31,feldene,0,0,0,0
32,aspirin,0,0,0,0
33,patanol,0,0,0,0
34,atenolol,0,0,1,0
35,lipitor,0,1,0,0
36,aceon,0,0,0,0
37,claritin,0,0,0,0
38,celexa,0,0,0,0
39,corzide,0,0,0,0
40,allopurinol,0,0,0,0
41,evista,0,0,0,0
42,fosamax,0,0,0,0
43,naprosyn,0,0,0,0
44,nexium,0,0,0,0
45,vitamin b-12,0,0,0,0
46,glucophage xr,0,0,0,0
47,flomax,0,0,0,0
48,tri-levlen 28,0,0,0,0
49,talwin nx,0,0,0,0
50,ibuprofen,0,0,0,0
51,premphase,0,0,0,0
52,dyazide,0,0,0,0
53,dovonex,0,0,0,0
54,univasc,0,0,0,0
55,ortho-novum,0,0,0,0
56,mircette,0,0,0,0
57,nasonex,0,0,0,0
58,proventil,0,0,0,0
59,diovan,0,0,0,0
60,allegra,0,0,0,0
61,vioxx,0,0,0,0
62,singulair,0,0,0,0
63,flovent,0,0,0,0
64,albuterol,0,0,0,0
65,pravachol,0,0,0,0
66,hydrochlorothiazide,0,0,1,0
67,aciphex,0,0,0,0
68,wellbutrin,0,0,0,0
69,zantac,0,0,0,0
70,provera,0,0,0,0
71,solganal suspension,0,0,0,0
72,hydroxyzine hcl,0,0,0,0
73,cozaar,0,0,0,0
74,medrol,0,0,0,0
75,altace,0,0,0,0
76,toprol xl,0,0,0,0
77,cephalexin,0,0,0,0
78,viagra,0,0,0,0
79,indapamide,0,0,0,0
80,aldactone,0,0,0,0
81,furosemide,0,0,1,0
82,labetalol hcl,0,0,0,0
83,erythromycin,0,0,0,0
84,adalat cc,0,0,0,0
85,detrol,0,0,0,0
86,zyrtec,0,0,0,0
87,accupril,0,0,0,0
88,verapamil hcl,0,0,0,0
89,minocycline hcl,0,0,0,0
90,nasarel,0,0,0,0
91,disalcid,0,0,0,0
92,relafen,0,0,0,0
93,allegra-d,0,0,0,0
94,vasotec,0,0,0,0
95,prevacid,0,0,0,0
96,trazodone hcl,0,0,0,1
97,norvasc,0,0,0,0
98,aygestin,0,0,0,0
99,medroxyprogesterone acet,0,0,0,0
100,estropipate,0,0,0,0
101,quinine sulfate,0,0,0,0
102,tylenol w/codeine no.3,0,0,0,0
103,actos,0,0,0,0
104,penicillin v potassium,0,0,0,0
105,skelaxin,0,0,0,0
106,amaryl,0,0,0,0
107,metformin hcl,1,0,0,0
108,reglan,0,0,0,0
109,claritin-d 12 hour,0,0,0,0
110,trimox,0,0,0,0
111,ortho-est,0,0,0,0
112,protonix,0,0,0,0
113,"estrogens,conjugated",0,0,0,0
114,levothyroxine sodium,0,0,0,0
115,prozac,0,0,0,0
116,fluoxetine,0,0,0,1
117,climara,0,0,0,0
118,macrodantin,0,0,0,0
119,acetaminophen w/codeine,0,0,0,0
120,amitriptyline hcl,0,0,0,1
121,oxybutynin chloride,0,0,0,0
122,potassium chloride,0,0,0,0
123,simvastatin,0,1,0,0
124,ranitidine hcl,0,0,0,0
125,diovan hct,0,0,0,0
126,nitroglycerin,0,0,0,0
127,prilosec,0,0,0,0
128,metoprolol tartrate,0,0,1,0
129,niacin,0,1,0,0
130,serevent,0,0,0,0
131,glucophage,0,0,0,0
132,glyburide,1,0,0,0
133,arthrotec 75,0,0,0,0
134,mobic,0,0,0,0
135,niaspan,0,0,0,0
136,welchol,0,0,0,0
137,deconamine,0,0,0,0
138,deconamine sr,0,0,0,0
139,lescol,0,0,0,0
140,cardizem cd,0,0,0,0
141,beconase,0,0,0,0
142,tiazac,0,0,0,0
143,diltiazem hcl,0,0,1,0
144,norco,0,0,0,0
145,tolterodine tartrate,0,0,0,0
146,xanax,0,0,0,0
147,paxil,0,0,0,0
148,oxycontin,0,0,0,0
149,neurontin,0,0,0,0
150,baclofen,0,0,0,0
151,l-thyroxine,0,0,0,0
152,iron,0,0,0,0
153,ery-tab,0,0,0,0
154,periostat,0,0,0,0
155,robitussin a-c,0,0,0,0
156,dicloxacillin sodium,0,0,0,0
157,monopril,0,0,0,0
158,lamisil,0,0,0,0
159,estradiol,0,0,0,0
160,alupent,0,0,0,0
161,hydrocortisone,0,0,0,0
162,dexamethasone sod phosphate,0,0,0,0
163,"estrogen,con/m-progest acet",0,0,0,0
164,enalapril maleate,0,0,1,0
165,estratest h.s.,0,0,0,0
166,levoxyl,0,0,0,0
167,transderm-scop,0,0,0,0
168,guaifenesin,0,0,0,0
169,salsalate,0,0,0,0
170,cetirizine hcl,0,0,0,0
171,meclizine hcl,0,0,0,0
172,uni - decon,0,0,0,0
173,miacalcin,0,0,0,0
174,imodium a-d,0,0,0,0
175,hytrin,0,0,0,0
176,calan,0,0,0,0
177,medroxyprogesterone acetate,0,0,0,0
178,triamterene,0,0,0,0
179,ultram,0,0,0,0
180,covera-hs,0,0,0,0
181,colace,0,0,0,0
182,ferrous sulfate,0,0,0,0
183,clonazepam,0,0,0,0
184,loestrin fe,0,0,0,0
185,phenergan,0,0,0,0
186,darvocet-n 100,0,0,0,0
187,depakote,0,0,0,0
188,wellbutrin sr,0,0,0,0
189,daypro,0,0,0,0
190,lodine,0,0,0,0
191,ventolin,0,0,0,0
192,ambien,0,0,0,0
193,ranitidine,0,0,0,0
194,senokot,0,0,0,0
195,zanaflex,0,0,0,0
196,metrocream,0,0,0,0
197,lotensin,0,0,0,0
198,ditropan xl,0,0,0,0
199,methylprednisolone acetate,0,0,0,0
200,estrace vaginal cream,0,0,0,0
201,plendil,0,0,0,0
202,estrace vagina cream,0,0,0,0
203,femhrt,0,0,0,0
204,estratest,0,0,0,0
205,plaquenil,0,0,0,0
206,fexofenadine hcl,0,0,0,0
207,betamethasone sodium phosphate,0,0,0,0
208,fluocinonide,0,0,0,0
209,terazosin hcl,0,0,0,0
210,nizoral,0,0,0,0
211,biaxin,0,0,0,0
212,zovirax,0,0,0,0
213,alesse-28,0,0,0,0
214,azmacort,0,0,0,0
215,tylenol,0,0,0,0
216,elavil,0,0,0,0
217,nortriptyline hcl,0,0,0,0
218,lopid,0,0,0,0
219,progesterone,0,0,0,0
220,actonel,0,0,0,0
221,excedrin,0,0,0,0
222,motrin,0,0,0,0
223,docusate sodium,0,0,0,0
224,proctofoam-hc,0,0,0,0
225,rhinocort,0,0,0,0
226,methylprednisolone,0,0,0,0
227,advair,0,0,0,0
228,folic acid,0,0,0,0
229,betoptic s,0,0,0,0
230,mevacor,0,0,0,0
231,dyrenium,0,0,0,0
232,prednisone,0,0,0,0
233,albuterol sulfate,0,0,0,0
234,amoxicillin,0,0,0,0
235,novocain,0,0,0,0
236,clinoril,0,0,0,0
237,proscar,0,0,0,0
238,alphagan,0,0,0,0
239,avandia,0,0,0,0
240,zafirlukast,0,0,0,0
241,proventil hfa,0,0,0,0
242,lomotil,0,0,0,0
243,glucosamine complex,0,0,0,0
244,astelin,0,0,0,0
245,lanoxin,0,0,0,0
246,amiodarone hcl,0,0,0,0
247,ditropan,0,0,0,0
248,adalat,0,0,0,0
249,levothroid,0,0,0,0
250,benzonatate,0,0,0,0
251,metoclopramide hcl,0,0,0,0
252,cenestin,0,0,0,0
253,celestone,0,0,0,0
254,vistaril,0,0,0,0
255,gemfibrozil,0,1,0,0
256,losartan potassium,0,0,1,0
257,phenytoin sodium,0,0,0,0
258,fioricet,0,0,0,0
259,calcium,0,0,0,0
260,lidex-e cream,0,0,0,0
261,fluocinolone acetonide,0,0,0,0
262,clobetasol propionate,0,0,0,0
263,lidex e cream,0,0,0,0
264,ketoconazole,0,0,0,0
265,tapazole,0,0,0,0
266,chlorhexidine gluconate,0,0,0,0
267,effexor,0,0,0,0
268,imipramine hcl,0,0,0,0
269,estrace,0,0,0,0
270,propine,0,0,0,0
271,acetaminophen,0,0,0,0
272,levaquin,0,0,0,0
273,menest,0,0,0,0
274,gabapentin,0,0,0,0
275,ascorbic acid,0,0,0,0
276,hyoscyamine sulfate,0,0,0,0
277,norinyl 1+35,0,0,0,0
278,minocin,0,0,0,0
279,glucovance,0,0,0,0
280,cycrin,0,0,0,0
281,doxycycline monohydrate,0,0,0,0
282,arthrotec 50,0,0,0,0
283,fluconazole-ointment,0,0,0,0
284,exelderm-ointment,0,0,0,0
285,fluconazole ointment,0,0,0,0
286,dilacor xr,0,0,0,0
287,desipramine hcl,0,0,0,0
288,nadolol,0,0,0,0
289,maxalt,0,0,0,0
290,reminyl,0,0,0,0
291,lac-hydrin 5,0,0,0,0
292,doxepin hcl,0,0,0,0
293,timoptic-xe,0,0,0,0
294,alprazolam,0,0,0,0
295,propranolol hcl,0,0,0,0
296,questran,0,0,0,0
297,xalatan,0,0,0,0
298,spironolactone,0,0,0,0
299,robaxin,0,0,0,0
300,cardura,0,0,0,0
301,potassium,0,0,0,0
302,allerjec-10,0,0,0,0
303,piroxicam,0,0,0,0
304,effexor xr,0,0,0,0
305,seroquel,0,0,0,0
306,zestoretic,0,0,0,0
307,fluoxetine hcl,0,0,0,1
308,avalide,0,0,0,0
309,ecotrin,0,0,0,0
310,peg-intron a,0,0,0,0
311,peg-intron,0,0,0,0
312,ribavirin,0,0,0,0
313,loestrin,0,0,0,0
314,trinalin,0,0,0,0
315,poly-histine-d,0,0,0,0
316,amoxicillin trihydrate,0,0,0,0
317,cyclobenzaprine hcl,0,0,0,0
318,pseudoephedrine hcl,0,0,0,0
319,serzone,0,0,0,0
320,nabumetone,0,0,0,0
321,zonalon,0,0,0,0
322,psorcon,0,0,0,0
323,uniretic,0,0,0,0
324,slow fe,0,0,0,0
325,glucotrol xl,0,0,0,0
326,cardizem,0,0,0,0
327,prinzide,0,0,0,0
328,lozol,0,0,0,0
329,fe-tinic 150 forte,0,0,0,0
330,hydrocodone,0,0,0,0
331,combivent,0,0,0,0
332,mupirocin,0,0,0,0
333,dynacirc,0,0,0,0
334,cipro,0,0,0,0
335,indocin,0,0,0,0
336,advair diskus,0,0,0,0
337,ortho tri-cyclen,0,0,0,0
338,actigall,0,0,0,0
339,thyroid,0,0,0,0
340,sinemet-25/100,0,0,0,0
341,novafed a,0,0,0,0
342,ativan,0,0,0,0
343,verelan,0,0,0,0
344,nifedipine,0,0,0,0
345,cimetidine,0,0,0,0
346,triamterene w/hctz,0,0,0,0
347,avapro,0,0,0,0
348,vancenase aq,0,0,0,0
349,tricor,0,0,0,0
350,methotrexate sodium,0,0,0,0
351,calcium carbonate,0,0,0,0
352,lotrel,0,0,0,0
353,methylphenidate hcl,0,0,0,0
354,xenical,0,0,0,0
355,lortab,0,0,0,0
356,tetracycline hcl,0,0,0,0
357,hctz/metoprolol tartrate,0,0,1,0
358,klonopin,0,0,0,0
359,nordette-28,0,0,0,0
360,cardizem sr,0,0,0,0
361,nasacort aq,0,0,0,0
362,tri-nasal,0,0,0,0
363,accolate,0,0,0,0
364,ogen,0,0,0,0
365,pepcid ac,0,0,0,0
366,lopressor,0,0,0,0
367,procardia,0,0,0,0
368,capoten,0,0,0,0
369,atorvastatin calcium,0,1,0,0
370,zyban,0,0,0,0
371,cosopt,0,0,0,0
372,propoxyphene hcl,0,0,0,0
373,entex,0,0,0,0
374,tagamet,0,0,0,0
375,cortisone acetate,0,0,0,0
376,prometrium,0,0,0,0
377,guaifed,0,0,0,0
378,maxzide,0,0,0,0
379,etodolac,0,0,0,0
380,vicodin,0,0,0,0
381,percocet,0,0,0,0
382,armour thyroid,0,0,0,0
383,atacand,0,0,0,0
384,azathioprine,0,0,0,0
385,septra ds,0,0,0,0
386,prednisolone acetate,0,0,0,0
387,asacol,0,0,0,0
388,betoptic,0,0,0,0
389,triphasil-28,0,0,0,0
390,triamcinolone acetonide 1% creme,0,0,0,0
391,hctz/bisoprolol fumarate,0,0,0,0
392,glyset,0,0,0,0
393,cytotec,0,0,0,0
394,calcium gluconate,0,0,0,0
395,phrenilin forte,0,0,0,0
396,maxalt mlt,0,0,0,0
397,levobunolol hcl,0,0,0,0
398,activella,0,0,0,0
399,donnatal,0,0,0,0
400,tegretol,0,0,0,0
401,aricept,0,0,0,0
402,trental,0,0,0,0
403,valtrex,0,0,0,0
404,demerol,0,0,0,0
405,lidocaine hcl,0,0,0,0
406,clindamycin phosphate topical,0,0,0,0
