"","medications"
"1","PLAVIX"
"2","NAPROXEN"
"3","BECONASE AQ"
"4","CLOPIDOGREL BISULFATE"
"5","SYNTHROID"
"6","TIMOLOL MALEATE"
"7","TIMOLOL"
"8","ZOLOFT"
"9","ZESTRIL"
"10","BELLERGAL-S"
"11","METROGEL"
"12","TAMOXIFEN CITRATE"
"13","LOVASTATIN"
"14","CLONIDINE HCL"
"15","ZITHROMAX"
"16","PREMARIN"
"17","CELEBREX"
"18","COUMADIN"
"19","CLARITIN-D 24 HOUR"
"20","LASIX"
"21","NAPROXEN SODIUM"
"22","FLEXERIL"
"23","AMPICILLIN TRIHYDRATE"
"24","CILOXAN"
"25","PRINIVIL"
"26","ZOCOR"
"27","PREMPRO"
"28","FLONASE"
"29","LISINOPRIL"
"30","SOMA"
"31","FELDENE"
"32","ASPIRIN"
"33","PATANOL"
"34","ATENOLOL"
"35","LIPITOR"
"36","ACEON"
"37","CLARITIN"
"38","CELEXA"
"39","CORZIDE"
"40","ALLOPURINOL"
"41","EVISTA"
"42","FOSAMAX"
"43","NAPROSYN"
"44","NEXIUM"
"45","VITAMIN B-12"
"46","GLUCOPHAGE XR"
"47","FLOMAX"
"48","TRI-LEVLEN 28"
"49","TALWIN NX"
"50","IBUPROFEN"
"51","PREMPHASE"
"52","DYAZIDE"
"53","DOVONEX"
"54","UNIVASC"
"55","ORTHO-NOVUM"
"56","MIRCETTE"
"57","NASONEX"
"58","PROVENTIL"
"59","DIOVAN"
"60","ALLEGRA"
"61","VIOXX"
"62","SINGULAIR"
"63","FLOVENT"
"64","ALBUTEROL"
"65","PRAVACHOL"
"66","HYDROCHLOROTHIAZIDE"
"67","ACIPHEX"
"68","WELLBUTRIN"
"69","ZANTAC"
"70","PROVERA"
"71","SOLGANAL SUSPENSION"
"72","HYDROXYZINE HCL"
"73","COZAAR"
"74","MEDROL"
"75","ALTACE"
"76","TOPROL XL"
"77","CEPHALEXIN"
"78","VIAGRA"
"79","INDAPAMIDE"
"80","ALDACTONE"
"81","FUROSEMIDE"
"82","LABETALOL HCL"
"83","ERYTHROMYCIN"
"84","ADALAT CC"
"85","DETROL"
"86","ZYRTEC"
"87","ACCUPRIL"
"88","VERAPAMIL HCL"
"89","MINOCYCLINE HCL"
"90","NASAREL"
"91","DISALCID"
"92","RELAFEN"
"93","ALLEGRA-D"
"94","VASOTEC"
"95","PREVACID"
"96","TRAZODONE HCL"
"97","NORVASC"
"98","AYGESTIN"
"99","MEDROXYPROGESTERONE ACET"
"100","ESTROPIPATE"
"101","QUININE SULFATE"
"102","TYLENOL W/CODEINE NO.3"
"103","ACTOS"
"104","PENICILLIN V POTASSIUM"
"105","SKELAXIN"
"106","AMARYL"
"107","METFORMIN HCL"
"108","REGLAN"
"109","CLARITIN-D 12 HOUR"
"110","TRIMOX"
"111","ORTHO-EST"
"112","PROTONIX"
"113","ESTROGENS,CONJUGATED"
"114","LEVOTHYROXINE SODIUM"
"115","PROZAC"
"116","FLUOXETINE"
"117","CLIMARA"
"118","MACRODANTIN"
"119","ACETAMINOPHEN W/CODEINE"
"120","AMITRIPTYLINE HCL"
"121","OXYBUTYNIN CHLORIDE"
"122","POTASSIUM CHLORIDE"
"123","SIMVASTATIN"
"124","RANITIDINE HCL"
"125","DIOVAN HCT"
"126","NITROGLYCERIN"
"127","PRILOSEC"
"128","METOPROLOL TARTRATE"
"129","NIACIN"
"130","SEREVENT"
"131","GLUCOPHAGE"
"132","GLYBURIDE"
"133","ARTHROTEC 75"
"134","MOBIC"
"135","NIASPAN"
"136","WELCHOL"
"137","DECONAMINE"
"138","DECONAMINE SR"
"139","LESCOL"
"140","CARDIZEM CD"
"141","BECONASE"
"142","TIAZAC"
"143","DILTIAZEM HCL"
"144","NORCO"
"145","TOLTERODINE TARTRATE"
"146","XANAX"
"147","PAXIL"
"148","OXYCONTIN"
"149","NEURONTIN"
"150","BACLOFEN"
"151","L-THYROXINE"
"152","IRON"
"153","ERY-TAB"
"154","PERIOSTAT"
"155","ROBITUSSIN A-C"
"156","DICLOXACILLIN SODIUM"
"157","MONOPRIL"
"158","LAMISIL"
"159","ESTRADIOL"
"160","ALUPENT"
"161","HYDROCORTISONE"
"162","DEXAMETHASONE SOD PHOSPHATE"
"163","ESTROGEN,CON/M-PROGEST ACET"
"164","ENALAPRIL MALEATE"
"165","ESTRATEST H.S."
"166","LEVOXYL"
"167","TRANSDERM-SCOP"
"168","GUAIFENESIN"
"169","SALSALATE"
"170","CETIRIZINE HCL"
"171","MECLIZINE HCL"
"172","UNI - DECON"
"173","MIACALCIN"
"174","IMODIUM A-D"
"175","HYTRIN"
"176","CALAN"
"177","MEDROXYPROGESTERONE ACETATE"
"178","TRIAMTERENE"
"179","ULTRAM"
"180","COVERA-HS"
"181","COLACE"
"182","FERROUS SULFATE"
"183","CLONAZEPAM"
"184","LOESTRIN FE"
"185","PHENERGAN"
"186","DARVOCET-N 100"
"187","DEPAKOTE"
"188","WELLBUTRIN SR"
"189","DAYPRO"
"190","LODINE"
"191","VENTOLIN"
"192","AMBIEN"
"193","RANITIDINE"
"194","SENOKOT"
"195","ZANAFLEX"
"196","METROCREAM"
"197","LOTENSIN"
"198","DITROPAN XL"
"199","METHYLPREDNISOLONE ACETATE"
"200","ESTRACE VAGINAL CREAM"
"201","PLENDIL"
"202","ESTRACE VAGINA CREAM"
"203","FEMHRT"
"204","ESTRATEST"
"205","PLAQUENIL"
"206","FEXOFENADINE HCL"
"207","BETAMETHASONE SODIUM PHOSPHATE"
"208","FLUOCINONIDE"
"209","TERAZOSIN HCL"
"210","NIZORAL"
"211","BIAXIN"
"212","ZOVIRAX"
"213","ALESSE-28"
"214","AZMACORT"
"215","TYLENOL"
"216","ELAVIL"
"217","NORTRIPTYLINE HCL"
"218","LOPID"
"219","PROGESTERONE"
"220","ACTONEL"
"221","EXCEDRIN"
"222","MOTRIN"
"223","DOCUSATE SODIUM"
"224","PROCTOFOAM-HC"
"225","RHINOCORT"
"226","METHYLPREDNISOLONE"
"227","ADVAIR"
"228","FOLIC ACID"
"229","BETOPTIC S"
"230","MEVACOR"
"231","DYRENIUM"
"232","PREDNISONE"
"233","ALBUTEROL SULFATE"
"234","AMOXICILLIN"
"235","NOVOCAIN"
"236","CLINORIL"
"237","PROSCAR"
"238","ALPHAGAN"
"239","AVANDIA"
"240","ZAFIRLUKAST"
"241","PROVENTIL HFA"
"242","LOMOTIL"
"243","GLUCOSAMINE COMPLEX"
"244","ASTELIN"
"245","LANOXIN"
"246","AMIODARONE HCL"
"247","DITROPAN"
"248","ADALAT"
"249","LEVOTHROID"
"250","BENZONATATE"
"251","METOCLOPRAMIDE HCL"
"252","CENESTIN"
"253","CELESTONE"
"254","VISTARIL"
"255","GEMFIBROZIL"
"256","LOSARTAN POTASSIUM"
"257","PHENYTOIN SODIUM"
"258","FIORICET"
"259","CALCIUM"
"260","LIDEX-E CREAM"
"261","FLUOCINOLONE ACETONIDE"
"262","CLOBETASOL PROPIONATE"
"263","LIDEX E CREAM"
"264","KETOCONAZOLE"
"265","TAPAZOLE"
"266","CHLORHEXIDINE GLUCONATE"
"267","EFFEXOR"
"268","IMIPRAMINE HCL"
"269","ESTRACE"
"270","PROPINE"
"271","ACETAMINOPHEN"
"272","LEVAQUIN"
"273","MENEST"
"274","GABAPENTIN"
"275","ASCORBIC ACID"
"276","HYOSCYAMINE SULFATE"
"277","NORINYL 1+35"
"278","MINOCIN"
"279","GLUCOVANCE"
"280","CYCRIN"
"281","DOXYCYCLINE MONOHYDRATE"
"282","ARTHROTEC 50"
"283","FLUCONAZOLE-OINTMENT"
"284","EXELDERM-OINTMENT"
"285","FLUCONAZOLE OINTMENT"
"286","DILACOR XR"
"287","DESIPRAMINE HCL"
"288","NADOLOL"
"289","MAXALT"
"290","REMINYL"
"291","LAC-HYDRIN 5"
"292","DOXEPIN HCL"
"293","TIMOPTIC-XE"
"294","ALPRAZOLAM"
"295","PROPRANOLOL HCL"
"296","QUESTRAN"
"297","XALATAN"
"298","SPIRONOLACTONE"
"299","ROBAXIN"
"300","CARDURA"
"301","POTASSIUM"
"302","ALLERJEC-10"
"303","PIROXICAM"
"304","EFFEXOR XR"
"305","SEROQUEL"
"306","ZESTORETIC"
"307","FLUOXETINE HCL"
"308","AVALIDE"
"309","ECOTRIN"
"310","PEG-INTRON A"
"311","PEG-INTRON"
"312","RIBAVIRIN"
"313","LOESTRIN"
"314","TRINALIN"
"315","POLY-HISTINE-D"
"316","AMOXICILLIN TRIHYDRATE"
"317","CYCLOBENZAPRINE HCL"
"318","PSEUDOEPHEDRINE HCL"
"319","SERZONE"
"320","NABUMETONE"
"321","ZONALON"
"322","PSORCON"
"323","UNIRETIC"
"324","SLOW FE"
"325","GLUCOTROL XL"
"326","CARDIZEM"
"327","PRINZIDE"
"328","LOZOL"
"329","FE-TINIC 150 FORTE"
"330","HYDROCODONE"
"331","COMBIVENT"
"332","MUPIROCIN"
"333","DYNACIRC"
"334","CIPRO"
"335","INDOCIN"
"336","ADVAIR DISKUS"
"337","ORTHO TRI-CYCLEN"
"338","ACTIGALL"
"339","THYROID"
"340","SINEMET-25/100"
"341","NOVAFED A"
"342","ATIVAN"
"343","VERELAN"
"344","NIFEDIPINE"
"345","CIMETIDINE"
"346","TRIAMTERENE W/HCTZ"
"347","AVAPRO"
"348","VANCENASE AQ"
"349","TRICOR"
"350","METHOTREXATE SODIUM"
"351","CALCIUM CARBONATE"
"352","LOTREL"
"353","METHYLPHENIDATE HCL"
"354","XENICAL"
"355","LORTAB"
"356","TETRACYCLINE HCL"
"357","HCTZ/METOPROLOL TARTRATE"
"358","KLONOPIN"
"359","NORDETTE-28"
"360","CARDIZEM SR"
"361","NASACORT AQ"
"362","TRI-NASAL"
"363","ACCOLATE"
"364","OGEN"
"365","PEPCID AC"
"366","LOPRESSOR"
"367","PROCARDIA"
"368","CAPOTEN"
"369","ATORVASTATIN CALCIUM"
"370","ZYBAN"
"371","COSOPT"
"372","PROPOXYPHENE HCL"
"373","ENTEX"
"374","TAGAMET"
"375","CORTISONE ACETATE"
"376","PROMETRIUM"
"377","GUAIFED"
"378","MAXZIDE"
"379","ETODOLAC"
"380","VICODIN"
"381","PERCOCET"
"382","ARMOUR THYROID"
"383","ATACAND"
"384","AZATHIOPRINE"
"385","SEPTRA DS"
"386","PREDNISOLONE ACETATE"
"387","ASACOL"
"388","BETOPTIC"
"389","TRIPHASIL-28"
"390","TRIAMCINOLONE ACETONIDE 1% CREME"
"391","HCTZ/BISOPROLOL FUMARATE"
"392","GLYSET"
"393","CYTOTEC"
"394","CALCIUM GLUCONATE"
"395","PHRENILIN FORTE"
